GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX60L,466.0276676,1.132635059,0.208000286,5.445353376,5.17e-08,1.68e-05
DKK1,5662.076016,0.571858614,0.12605847,4.536455312,5.72e-06,0.001236229
DTX3L,874.1332103,1.457908246,0.142330791,10.24309804,1.27e-24,1.44e-21
EDN1,2136.73298,0.449872232,0.12111884,3.714304326,0.000203763,0.024991314
EHF,227.8090071,0.808499784,0.209780191,3.854033026,0.000116188,0.015977598
EIF2AK2,1176.688307,1.359437734,0.173971406,7.814144653,5.53e-15,3.59e-12
ESF1,730.8138487,0.636544049,0.175366196,3.629799042,0.000283642,0.033613345
FAM102A,1706.872127,-0.566861451,0.129515984,-4.376768274,1.2e-05,0.002344262
FGA,552.0790414,0.658065545,0.14329803,4.592286046,4.38e-06,0.000994768
FGG,107.248863,1.193022738,0.286841863,4.15916536,3.19e-05,0.005528198
FILIP1,324.7615974,0.656602075,0.173944705,3.77477471,0.000160152,0.020764894
GBP3,117.6813896,0.889719461,0.226760515,3.923608395,8.72e-05,0.012633863
HELZ2,1059.752662,1.379328132,0.150190771,9.183840809,4.16e-20,3.78e-17
HERC5,262.1207803,0.944160376,0.178479468,5.290022371,1.22e-07,3.7e-05
HERC6,287.9819756,1.521744227,0.183735529,8.282253507,1.21e-16,9.14e-14
HIF1A,5012.176323,0.540797243,0.150734338,3.587750804,0.000333543,0.038158422
HSP90B1,16180.09757,0.476833711,0.131767968,3.618737688,0.000296044,0.034447321
IFI16,68.36171431,1.345276009,0.318718194,4.220894928,2.43e-05,0.004302278
IFI27,55.42022406,3.544625065,0.426881527,8.303533518,1.01e-16,8.09e-14
IFI35,602.1959827,1.057812426,0.158943863,6.655258068,2.83e-11,1.54e-08
IFI44,14.64623703,4.59043874,0.979773588,4.685203597,2.8e-06,0.000679926
IFI6,1191.849257,4.269528311,0.163753808,26.07284902,7.41e-150,1.01e-145
IFIH1,190.4890521,1.878437041,0.216906998,8.660103429,4.71e-18,4.01e-15
IFIT1,611.5696593,4.432525,0.209057637,21.20240653,9.07e-100,6.18e-96
IFIT2,59.09145433,1.251654115,0.326273013,3.836217116,0.000124944,0.016841456
IFIT3,209.8128057,2.066695433,0.202430361,10.20941433,1.8e-24,1.88e-21
IFIT5,490.5629117,1.087260931,0.177560075,6.123341263,9.16e-10,3.9e-07
