GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
CSMD3,0.42269,0.00902,0.24006,0,0,0,0.11831,0.10059,-0.3129637,-0.8954604,1,1,1,1,1,0,1,0,1,1
CSN1S1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CSN1S2AP,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CSN1S2BP,0.05656,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CSN2,0,0,0.19832,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CSN3,0,0,0,0,0,0.32945,0,-0.02925,0,0,1,1,1,1,1,6.32E-05,1,0,1,1
CSNK1A1,0.14337,0.06131,0.10963,0.62626233,0.83697132,0.63096,0.53085,0.40546,0.23972259,0.21763133,0.12145517,0.90680402,0.02013001,0.34794471,0.19785978,1.60E-06,5.90E-19,3.05E-05,3.66E-05,0.01011827
CSNK1A1L,0.0185,0,0.18074,0.36913493,0,0.65064,0.08425,-0.02925,-0.390949,0.44228019,1,1,1,1,1,0,1,0,1,1
CSNK1A1P1,0.70833,0,-0.37934,0,0,0.11758,0,0,0,0.26804011,0.03872225,1,1,1,1,0,1,0,1,1
CSNK1D,-0.18124,-0.37582,0.03334,-0.0701147,0.24512399,0.15942,0.04446,-0.05618,0.48584695,0.52809521,0.01591229,0.35820532,0.736525,0.82724794,0.36112014,0.26645903,0.53196544,0.68076669,2.51E-19,1.21E-13
CSNK1E,-0.16425,-0.43417,0.05527,0.26362987,0.87972105,0.55646,0.33675,0.02537,0.33563391,0.30659785,0.01226208,0.27326361,0.51831531,0.38659747,3.27E-05,5.28E-10,0.00028991,0.93471689,0.00847787,0.00548275
CSNK1G1,0.1612,-0.17321,0.34162,0.79350277,1.06881067,0.51624,0.37901,0.32837,0.75954626,0.89090763,0.13118895,0.73636126,0.00015389,0.10250709,0.01124235,0.00031947,0.00084439,0.00168551,1.63E-29,2.17E-33
CSNK1G2,-0.11547,-0.56763,-0.00965,-0.8793814,-0.234274,-0.73467,-0.80697,0.2783,-0.3310039,-0.3980466,0.14562502,0.2523641,0.89886116,0.08607808,0.65397277,6.18E-08,8.99E-24,0.14431039,0.0108122,1
CSNK1G2-AS1,0.22062,0,0.95963,0,0,0,0,0,0.89180323,1.80422617,1,1,1,1,1,0,1,0,1,1
CSNK1G3,0.49454,0.32056,-0.29925,0.72775977,0.55960711,0.79339,0.8395,0.58736,0.72955244,0.8110315,1,0.56519706,1,0.21190415,0.32143512,0.00014031,6.69E-14,0.00789775,1.08E-08,4.76E-15
CSNK2A1,0.07251,0.11355,0.11303,0.61198787,0.63496664,0.34027,0.35671,-0.06901,0.26571002,0.2483352,0.35943736,0.84649953,0.17260951,0.10936849,0.04203968,0.00141887,5.35E-13,0.59493567,0.00012316,0.0328967
CSNK2A2,0.103,0.68229,0.03689,0.29858745,0.41123489,0.69496,0.85284,0.36672,0.63970091,0.51546813,0.42040052,0.05915855,0.85703596,0.285684,0.00716683,8.30E-11,6.90E-16,0.10887307,4.25E-08,6.22E-06
CSNK2A3,0.25246,-0.16057,0.52465,0.24037286,0.34218135,-0.39086,0.16864,0.27402,-0.5750589,-0.1796586,0.45166809,1,0.08003349,1,1,0,0.56807949,0,1,1
CSNK2B,-0.16192,0.87099,-0.37119,-0.6999566,-0.9690536,-0.11816,-0.08089,-0.11761,-0.3829145,-0.3365665,0.17340985,0.0148929,0.00023426,1,1,0.50992194,0.32032882,0.4817653,0.00013996,0.0007694
CSPG4,0.20034,-0.55379,0.19103,0,0.14137161,0.27233,0.07802,-0.0725,-0.50781,-0.3263402,0.1114347,1,0.10298292,1,1,0,1,0,1,1
CSPG4P1Y,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CSPG5,0.18257,0.31253,0.76383,-0.5591984,-0.80291,-1.64927,-0.51963,0.27021,-1.2445043,-0.7062679,1,0.73504931,1,0.30734721,0.12713041,7.38E-24,0.04216725,0,0.00116846,0.03318554
CSPP1,0.32254,0.36085,0.14005,0.53200724,0.22019848,0.05972,0.1025,0.52942,0.87034168,1.12216665,0.02688157,0.57964673,1,0.21066394,0.56282808,0.77111474,0.36752294,0.01965666,6.98E-12,7.59E-17
CSRNP2,-0.09714,0.16022,0.72556,0.69818733,0.9285273,1.28695,0.59109,0.38511,0.70367408,0.26854356,0.45480555,0.79684173,8.75E-13,0.23545318,0.08133387,5.94E-19,4.03E-10,0.06790538,8.73E-08,0.03266097
CSRNP3,0.15509,0,-0.06264,-0.7649175,-1.378055,-0.39822,-0.14896,-0.04894,-0.5750835,0.31430069,0.72342255,1,0.9109072,1,1,0.49744303,1,0,1,1
CSRP1,-0.44556,0.14566,-0.77129,-0.6033668,-0.451371,0.22777,0.09972,-1.3691,-0.5927741,-0.699026,2.64E-11,0.80926845,1.94E-36,1,1,0.0971579,0.20352386,1.92E-42,5.19E-12,7.28E-16
CSRP2,-0.09105,0.28642,-0.09219,-0.2265646,0.588226,-0.604,-0.37802,0.23039,-0.7470828,-0.8651761,0.35094872,0.65979256,0.24648986,0.66977068,0.26269685,0.00232142,0.01363214,0.62110736,5.99E-06,3.14E-07
CSRP2BP,-0.12061,0.03706,0.65451,-0.0074809,-1.0575457,-0.37541,-0.13371,0.00556,-0.4316755,0.04603423,0.50307346,0.96211363,5.16E-06,0.97662067,3.22E-06,0.32578797,0.18529586,0.98976467,0.09989553,0.85952906
CSRP3,0,0,0.39497,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CST1,0.05656,0.2095,0,-0.7599425,-1.1929669,0.16612,-0.35443,-1.7625,-1.1169266,-0.6078277,1,0.828694,1,0.2960572,0.09073024,0.71290556,0.08922633,0,5.68E-06,0.0056643
CST11,-0.0348,0,-0.07817,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CST13P,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CST3,-0.1783,-0.27601,-0.60343,-1.0806592,-1.204611,-0.80688,-0.9387,-0.67366,-1.1899572,-1.4625684,0.19896378,1,5.29E-10,1,1,4.24E-05,9.09E-22,0.00034735,1.42E-28,1.15E-70
CST4,0,-0.02082,0.12531,0.34895878,-0.0814615,0.11801,-0.43576,-1.05864,-0.2298476,-0.2332527,1,1,1,1,1,0,1,0,1,1
CST5,0,0,0,0,0,0,0,-0.41127,0,0,1,1,1,1,1,0,1,0,1,1
CST6,-0.18736,0.05121,-0.62644,0,0,-0.3577,0,0,-0.1624681,-0.1637694,0.65955677,1,0.16394548,1,1,0,1,0,1,1
CST7,0.00334,0,0.12877,0,0.41274992,0,-0.0045,0,0.09005429,-0.1648944,1,1,1,1,1,0,1,0,1,1
CST8,0,0,0.12477,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CST9,0.05884,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CST9L,0,0,0.12531,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CSTA,-0.37391,-0.31703,-0.78891,-0.3891484,-0.1019191,1.23624,1.36924,0.26829,-1.128182,-1.2829485,1,1,1,1,1,0,1,0,1,1
CSTB,-0.21681,-0.10848,-0.66535,-0.9348606,-0.6835718,0.06944,-0.21186,0.132,-0.8023925,-0.9163142,0.05354431,0.83155199,1.79E-11,0.17997846,0.33413449,0.654257,0.07021649,0.4377875,1.77E-16,8.12E-38
CSTF1,-0.14326,0.31767,-0.05458,0.06992912,-0.7921967,-0.24901,-0.73278,0.60227,1.15785565,1.20775561,0.08962548,0.52677632,0.54058369,0.84499726,0.00682644,0.09458463,1.24E-16,0.00062183,5.68E-24,5.67E-29
CSTF2,0.06393,0.1117,0.24067,0.13328767,0.24764718,-0.47264,-0.64418,-0.12839,-0.159086,-0.3577809,0.67157684,0.83297453,0.12957761,0.55743865,0.23877345,3.22E-06,3.13E-10,0.62345022,0.25276571,0.0310355
CSTF2T,0.01775,-0.48109,0.17661,0.3461488,0.27985895,0.04015,-0.55924,0.68717,0.26609707,0.2379966,0.93964743,0.21379066,0.18587603,0.57371207,0.67269275,0.74800175,1.08E-12,0.00034361,0.03970012,0.05521545
CSTF3,0.17142,0.54704,0.11106,0.89289313,0.88423807,0.12979,-0.36161,0.7368,1.85795403,1.77333657,0.06559065,0.2261612,0.31633875,0.00198001,0.00089958,0.33320115,1.07E-05,4.99E-06,5.25E-85,1.20E-64
CSTF3-AS1,0.17722,-0.29295,-0.07025,-0.1039161,-0.8717333,-0.0214,0.12531,0.02024,0.47407098,0.36431127,1,1,1,1,1,0,1,0,1,1
CSTL1,0.05726,0,0,0,0,0,0,0,-0.1624681,-0.1637694,1,1,1,1,1,0,1,0,1,1
CT45A1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT45A2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT45A3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT45A4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT45A5,0,0.06253,0,0,0.14137161,0,0.15684,-0.02925,-0.5895641,-0.7050038,1,1,1,1,1,0,1,0,1,1
CT45A6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47A9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT47B1,0.05656,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CT49,0,-0.28521,0,0,0.14137161,0.10599,0.07802,-0.22313,-0.2695304,-0.2774587,1,1,1,1,1,0,1,0,1,1
CT60,0,0.05763,0.12531,0.34699172,-0.1726245,0,-0.17339,-0.2267,-0.7494267,-1.2843172,1,1,1,1,1,0,0.52585693,0,1,1
CT62,-0.05208,-0.77863,0.38746,0.33191435,-0.3723579,0.14173,0.29341,0.11893,1.05879309,0.7186938,1,0.29675884,1,1,1,0,0.40918495,0,1,1
CT64,0,0,0,0,0,-0.11126,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTAG1A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTAG1B,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTAG2,0,0,0,0,0.53355122,0,0,0,-0.2695304,-0.2774587,1,1,1,1,1,0,1,0,1,1
CTAGE1,0.07638,0,1.756,0.16667331,0,-0.05819,0.25238,-0.05306,-0.3676631,-0.2031896,1,1,4.03E-05,1,1,0,1,0,1,1
CTAGE10P,-0.0118,-0.06913,0.63304,0,0,0,0,-0.04114,-0.2541171,-0.2596419,1,1,1,1,1,0,1,0,1,1
CTAGE11P,0.01909,0,0.78425,-0.1304174,-0.2929979,0.1079,0.08226,-0.10689,1.34711291,0.58199854,1,1,1,1,1,0,1,0,1,1
CTAGE15P,0,0,0,0,0,0.94563,0,0,0,0,1,1,1,1,1,0.05575142,1,0,1,1
CTAGE4,0.18607,0,-0.19642,0,0,1.00039,0,0,-0.1438204,-0.144094,1,1,1,1,1,0.00762779,1,0,1,1
CTAGE5,0.17291,0.26886,-0.0813,0.34178627,0.03010765,0.45701,0.3357,0.09047,-0.5474992,-0.3678582,0.24330696,0.54587297,0.57218582,0.31960519,0.93251945,0.00024878,0.00015312,0.61205229,7.80E-09,3.11E-05
CTAGE6P,0.00122,0,-0.09919,0,0.19300023,0.36571,-0.12712,0,0.36623664,0.63701607,1,1,1,1,1,0,1,0,1,1
CTAGE7P,0.15802,-0.21979,-0.2769,0.18486372,0,0.18715,0.61128,0,0.65776595,1.10538744,0.71319489,1,0.55557444,1,1,0,1,0,1,0.02049535
CTAGE9,0,0,0.29784,0,0,-0.91344,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTBP1,-0.17566,-0.45854,-0.01795,-0.6007529,-0.52897,-0.57804,-0.32708,-0.21747,-0.7815078,-0.5567205,0.02921563,0.31117828,0.82977595,0.1203241,0.04074115,0.00118162,1.33E-06,0.2077547,2.90E-13,3.34E-05
CTBP1-AS1,-0.05313,-0.32616,0.05768,-0.0981191,-0.1818812,-0.27615,-0.40748,-0.44128,-0.6379166,-0.2049927,0.74283663,0.62651897,0.66263777,0.77547875,0.59694388,0.23339404,0.00206174,0.24219785,0.11602726,0.44919494
CTBP2,0.09428,0.18023,0.21187,0.55230826,0.69194072,0.45862,0.32283,-0.06816,-0.0925902,0.01224665,0.30223519,0.66308922,0.00185664,0.24974098,0.10946078,1.46E-05,4.29E-07,0.63273908,0.35332916,0.87275057
CTBS,0.3182,0.32539,-0.33629,0.51261284,0.67969979,0.33135,0.7978,0.58927,-0.4597501,-0.5432583,0.13667356,0.64270831,0.05954292,0.41145929,0.28525584,0.06509333,1.50E-08,0.04599391,0.03532789,0.01173626
CTC1,0.01054,-0.37622,0.16929,-0.0264218,0.37295742,0.20158,0.27781,-0.9092,-0.1304667,0.05089086,0.9615833,0.4345336,0.27871461,0.89112241,0.02511789,0.36049739,0.00177974,3.16E-06,0.38591433,0.7250238
CTCF,0.10826,0.27525,0.43113,0.59993312,0.06879188,0.02473,-0.18263,-0.20176,-0.1211142,-0.0186421,0.49209049,0.67600341,0.00092987,0.37805541,0.93553963,0.85837937,0.00710733,0.26083432,0.33371319,0.89315995
CTCFL,0,0.09219,0.24449,-0.2070152,-0.2343606,0,0,-0.05306,-0.1624681,0.8874467,1,1,1,1,1,0,1,0,1,1
CTDNEP1,-0.09419,-0.34017,0.06775,-0.7367906,-0.6990674,-0.4239,-0.20667,0.26949,0.19808331,0.21364277,0.27744295,0.43472188,0.42840737,0.26140241,0.28769635,0.01913967,0.0082409,0.01070761,0.01616959,0.00710639
CTDP1,-0.05678,-0.53609,-0.00066,-0.4929823,0.1893229,-0.235,-0.85072,-0.08274,1.55801296,1.22390662,0.60681842,0.30160563,0.99558968,0.07772124,0.53027212,0.27905162,4.55E-25,0.73679979,1,3.34E-20
CTDSP1,-0.12551,-0.86192,0.02946,-1.0573587,-1.1804521,-0.44553,-0.41315,-0.35731,-0.5117842,-0.6138738,0.0929954,1,0.77209471,0.09529563,0.03299524,0.00300067,3.81E-05,0.02466502,0.0001348,1.44E-05
CTDSP2,-0.1394,-0.33174,-0.03971,-0.2197987,0.57233124,0.0577,0.49984,1.94217,2.09222599,1.93687979,0.05874894,0.43130582,0.72299131,0.52222258,0.07028982,0.62013343,5.77E-11,4.00E-19,9.54E-101,4.00E-47
CTDSPL,0.03119,-0.00326,0.06439,-0.7783406,-1.5147325,-1.0342,-0.49249,-0.93054,-1.2892469,-0.6129687,0.77317562,0.99632432,0.56711536,0.09131958,9.73E-05,1.80E-28,0.00018399,0.00822122,2.29E-08,0.00077542
CTDSPL2,0.6768,0.25195,0.20381,0.71479621,0.21908781,0.26444,0.33861,0.84539,1.97520431,1.97162193,0.00058273,0.71871024,0.37207345,0.3489553,0.79956352,0.31669493,0.0052666,0.00040528,3.05E-25,2.68E-38
CTF1,-0.18854,-0.06913,-0.48896,0.06336759,0.08871564,0.09371,1.04796,-0.02925,-0.4041855,-0.4445876,0.23849854,1,0.00949088,1,1,0.7391615,1,0,1,1
CTHRC1,0.08926,0.07897,-0.14294,0.28489039,0.18320198,-1.04947,0.47022,0.23717,0.73913806,0.37915191,0.65390679,1,0.31819151,1,1,0,0.16040553,0,1,1
CTIF,-0.13363,-0.60688,0.03485,-0.7921819,-0.2284532,0.35148,-0.03001,0.03021,0.03785776,0.2106331,0.0299579,0.29444608,0.55457655,0.02387099,0.49223197,0.00314311,0.81585072,0.8900171,0.84829162,0.19287221
CTLA4,0.0185,0,0.03932,0,0,0.03356,0,0,-0.1438204,-0.144094,1,1,1,1,1,0,1,0,1,1
CTNNA1,-0.03668,0.17421,-0.31429,0.40156823,0.57460716,-0.25257,0.16201,-0.74236,-0.8385862,-1.0448308,0.47110287,0.59486569,0.00029584,0.27877424,0.06497628,0.00021274,0.00106246,2.20E-28,2.40E-65,1.46E-56
CTNNA2,-0.0365,0,0.03433,0.12489884,0.33188708,0,0.52504,0,-1.0123903,-0.5645057,1,1,1,1,1,0,0.04591957,0,1,1
CTNNA3,0.00594,0.05121,0.00222,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTNNAL1,0.3323,0.65594,-0.05236,0.98257346,1.23701476,-0.36811,0.9321,0.05744,1.24836584,1.14034991,0.04954292,0.1418853,0.80988341,3.15E-06,6.02E-07,0.03045457,6.02E-21,0.86821709,1.60E-63,5.33E-32
CTNNB1,0.12251,-0.00206,-0.20861,0.27049414,0.2332017,-0.27893,-0.19202,-0.33692,0.44932145,0.37660851,0.06445419,0.9966093,0.0167915,0.57023529,0.64313357,0.00058836,0.02335538,2.73E-05,5.88E-12,1.07E-11
CTNNBIP1,-0.182,-0.41743,-0.17919,-1.0787535,-0.586855,-0.63117,-0.19995,-0.79505,-0.4703922,-0.8052779,0.0999613,0.59379133,0.20431585,0.07171218,0.34388309,0.00014163,0.14854717,0.12279229,0.14597592,0.00740656
CTNNBL1,-0.15488,-0.09653,0.10215,-0.4144414,-0.2879433,0.08756,-0.12281,-0.1117,0.54054677,-0.4319464,0.27444673,0.84700604,0.47205914,1,1,0.61767306,0.24788881,0.59493567,0.00153602,4.26E-05
CTNND1,-0.01469,-0.72811,-0.00717,0.09475996,0.70789571,0.73985,-0.12513,0.66153,0.1654328,0.78723587,0.95743068,0.33611593,0.9736608,0.89907045,0.34897915,0.02240123,0.62023449,0.18168766,0.65345945,0.00410094
CTNND2,0.08949,0,0.5428,0,0.14137161,-1.65744,-0.13135,-0.13484,-0.2298476,-0.0127592,1,1,1,1,1,1.18E-06,1,0,1,1
CTNS,-0.02721,-0.22416,-0.0437,-0.3496552,-0.0430704,-0.76772,-0.21706,-0.31162,-0.7188036,-0.8201958,0.85590412,0.73864031,0.7425401,0.42810682,0.93102838,0.00249049,0.17182441,0.34189697,0.00073211,0.00023578
CTPS1,0.05685,0.19936,0.22193,0.59088888,0.1028199,-0.70871,0.9882,-0.60409,-0.2458432,-0.1130647,0.81193575,0.6040617,0.2657607,0.02281623,0.71335467,3.91E-11,1,3.33E-07,0.01084501,0.22226031
CTPS2,0.10748,-0.20999,-0.04111,0.17783021,-0.1510017,-0.06496,0.19629,-0.1606,-0.8600906,-0.7129697,0.38340545,0.72825053,0.76018212,0.5353259,0.64896732,0.61925604,0.03189206,0.61500074,3.65E-06,2.50E-06
CTR9,0.22536,0.29334,0.04692,0.55317591,0.49786404,-0.13351,-0.43515,-0.21835,-0.1772342,-0.0295372,0.11092956,0.65143893,0.78461898,0.4432096,0.52335952,0.29180613,4.78E-10,0.17028201,0.16768041,0.7707325
CTRB1,-0.0365,0.05121,0.60051,0,0,0,0,0,0.35997826,0.63701607,1,1,1,1,1,0,1,0,1,1
CTRB2,-0.0365,0,0.9716,0,0,-0.06675,0,0.28917,0.50127593,0.98992632,1,1,1,1,1,0,1,0,1,1
CTRC,0.00438,-0.06913,0.56546,0.10915181,0.60598056,0.02798,-0.30936,0.03819,0.619732,1.16725194,1,1,1,1,1,0,1,0,1,1
CTRL,0.37773,-0.10633,1.15217,0.04180792,0.24344493,0.59855,-0.57283,0.2742,-0.0245487,-0.8316817,0.28934262,0.91752767,0.00013615,0.94286859,0.65649783,0.11558197,0.08922633,0,1,1
CTSA,-0.1418,-0.24005,-0.44905,-0.8467364,-0.2683376,-0.39717,-0.34202,-0.39079,-1.3166018,-1.4673299,0.18307493,0.51963668,4.36E-17,0.14530742,0.66331221,0.00386564,0.00019736,0.00383504,4.91E-18,3.53E-64
CTSB,-0.18348,-0.1365,-0.0837,-0.175926,0.88256668,0.18283,0.48991,0.31537,-0.3497398,-0.9213163,0.0182848,0.81424827,0.35370117,0.6955522,0.0261308,0.08404661,3.99E-32,0.00026832,3.05E-05,2.37E-42
CTSC,-0.06823,0.4255,-0.13056,0.33673718,0.85089987,-0.61517,0.29942,0.13658,-0.820601,-1.2384018,0.7520942,0.22712689,0.4990293,0.08941902,1.33E-10,3.17E-13,0.00548968,0.46041047,6.67E-16,3.99E-53
CTSD,-0.27346,-0.63998,-0.49099,-1.4541754,-0.9400828,-0.45268,-0.57948,-0.76609,-1.9283316,-2.013019,0.00028036,1,1.78E-37,0.03075205,0.149189,0.00230172,1.69E-15,0,1,4.51E-67
CTSE,-0.11161,0,-0.39514,0.28400355,0.54584699,-0.05642,-0.12712,-0.1535,0,0,1,1,1,1,1,0.57249066,1,0,1,1
CTSF,-0.39279,-0.35278,-0.32289,-1.3979017,-1.7285145,-0.20388,-0.25874,-0.38933,-1.0376214,-1.1715701,0.00408049,0.45513281,0.00917505,0.03521839,0.0041332,0.59933263,0.0012051,0.25298552,3.62E-08,9.90E-11
CTSG,0,0,0.12516,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTSH,0.0187,0.07122,0.02226,-1.2268494,-1.3280023,-0.9046,0.19812,-0.41852,-0.8655653,-0.4922726,0.94629104,0.92119073,0.92594714,0.04174948,0.0163468,9.78E-16,0.06671025,0.43733162,0.00081523,0.03300629
CTSK,-0.26449,0.00074,-0.15155,0.25715771,0.35599132,-0.20077,0.25529,-0.31636,0.98626128,0.93734232,0.023665,0.99931723,0.16083623,0.58733669,0.4880836,0.61267703,0.4121501,0,0.01176098,0.01279402
CTSL1,-0.16317,0.06446,-0.38695,0.70464977,1.08578205,-0.29862,0.11699,0.16103,-0.5987847,-2.1224996,0.12059911,0.90864107,0.00015852,0.07725451,0.00107778,0.01208065,1,0.25308666,9.89E-13,1.93E-251
CTSL1P2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTSL1P8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CTSL2,0.24264,0.01614,0.51727,-0.5030905,-0.8260125,-0.73119,-0.8846,-0.48633,-1.8977055,-2.1809598,0.51147783,0.98442416,0.19045539,0.0853535,0.00047279,2.29E-07,6.46E-14,0.41973752,8.42E-07,6.99E-09
CTSL3P,0,0,0,0,0.14959346,0.64005,0,-0.13368,0,0,1,1,1,1,1,0,1,0,1,1
CTSO,-0.14288,-0.46932,-0.63905,0.96895659,0.90969363,1.12531,1.14472,0.34331,-0.8529652,-1.6926896,0.61720307,1,0.00081718,0.06238294,0.04630979,2.07E-10,2.49E-09,0.56366212,0.03010607,2.39E-05
CTSW,-0.16649,-0.20762,0.44685,0,0.14137161,0.10599,-0.01865,0,-0.3952414,0.11467414,1,1,1,1,1,0,1,0,1,1
CTSZ,-0.11237,-0.28475,0.0034,-0.5178373,-0.6559882,-0.27373,-0.31461,-0.24472,-0.6722278,-0.6516083,0.13783325,0.41115836,0.97562907,0.38128868,0.27197723,0.03791422,0.00041526,0.05667163,7.57E-08,2.37E-11
CTTN,-0.11823,-0.03593,-0.30819,-0.0542068,0.6893776,-0.54329,-0.04988,-0.85629,-0.6557342,-0.6443603,0.19663984,0.95128824,2.11E-05,0.78133759,1.62E-07,5.19E-07,0.53356788,1.42E-27,4.57E-39,1.80E-16
CTTNBP2,0.38544,0.06213,0.37356,-0.3808661,-1.1706834,-0.00982,0.08778,0.11357,-0.5921765,-1.1061402,0.00978012,0.95466007,0.0077017,0.55214794,0.0827568,0,0.71270782,0,0.13283107,0.00536045
CTTNBP2NL,0.12679,0.3481,-0.36548,0.84667356,1.14324744,0.84792,0.49848,0.48067,1.3686944,1.34249139,0.37375447,0.4880948,0.05444078,0.17366499,0.0368598,0,5.40E-05,0.01033123,2.87E-18,4.84E-31
CTU1,0.21712,-0.68803,0.40633,-1.5374928,-1.4080904,-0.76148,-1.09182,0.13229,0.85075281,0.68988155,0.42743333,1,0.09509917,1,1,0,3.17E-15,0,0.01109151,0.06302147
CTU2,-0.23615,-0.33055,0.0063,-1.3374682,-1.6835495,-0.74678,-0.86436,0.03118,0.03936149,0.04856635,0.04037856,0.6863222,0.95538859,1,1,0.00022283,1.34E-07,0.93050285,0.89727809,0.87275057
CTXN1,-0.20897,-1.138,-0.65363,-1.3806005,-1.9269097,-1.78771,-1.39383,-0.17931,-1.0601565,-0.9119459,0.31221586,0.09862946,1.42E-05,1,1,3.60E-14,6.11E-12,0.71924528,0.05095381,0.0548348
CTXN2,-0.05908,0.05121,0.10523,-0.7074518,-0.7539558,0,0.07802,0,0,0,1,1,1,1,1,0,1,0,1,1
CTXN3,0,0,0,0,0,0.1079,0,0,0,0,1,1,1,1,1,0,1,0,1,1
CUBN,0.13703,0.43222,1.40299,0.54395477,0.97890825,0.7104,0.09877,-0.32905,0.61137729,0.39662136,0.7533601,1,1.29E-05,1,1,0,1,0,1,1
CUEDC1,-0.13438,-0.64137,0.077,-0.6853625,-0.4579639,0.03434,-0.84887,-0.16653,-0.3830979,-0.4195494,0.16601059,0.16511355,0.38919097,0.1536738,0.31157728,0.84365198,5.43E-37,0.19609621,7.14E-05,0.0153154
CUEDC2,-0.37183,-0.39079,-0.25947,-1.3008838,-1.2764999,-0.91044,-0.02806,-0.8026,-1.5770537,-1.1815294,0.00094069,0.57254608,0.02812438,1,1,1.13E-07,0.78792227,6.21E-05,2.07E-22,7.38E-17
CUL1,0.10879,0.42516,0.18546,0.37314312,0.12728423,-0.183,-0.03325,-0.18679,-0.0928614,-0.0995826,0.15519124,0.27326361,0.00778236,0.19305303,0.39758357,0.10418314,0.74990664,0.14952854,0.33762409,0.2766415
CUL2,0.38519,0.49961,-0.10813,0.86488272,0.81656084,0.25892,0.25231,-0.02208,0.47671899,0.36101234,0.00016528,0.27430543,0.58602879,0.06580896,0.06039698,0.0854146,0.00116726,0.92050949,3.08E-05,0.00250531
CUL3,0.30602,0.52465,0.35927,0.4988503,-0.0028979,0.16399,0.11016,0.14192,0.76719183,0.88954623,0.00056819,0.22253215,2.17E-06,0.13542548,0.99411901,0.24122373,0.08899569,0.4480398,8.73E-22,1.27E-18
CUL4A,0.07528,0.09567,-0.0471,0.52564609,0.58902308,0.27323,0.35881,-0.00614,0.19087906,0.26156957,0.36977512,0.82284746,0.58551777,0.37521863,0.31842082,0.04702153,1.05E-06,0.97730425,0.08172764,0.02013178
