GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
LOC100505648,0.19392,-0.24981,-0.39408,-0.5307384,-0.4396951,0.74712,0.03878,0.50823,0.51459876,0.3094689,0.52701913,0.79166151,0.18852004,0.42792471,1,0,0.89934884,0,1,1
LOC100505658,0.14066,0,0.85679,0,0,0,0,0,0,0.25890683,1,1,1,1,1,0,1,0,1,1
LOC100505659,0.14176,0.05121,0.12531,0,0,0,0,-0.02925,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505666,0.32333,-1.09718,0.22481,-0.8990536,-1.5564431,-0.24999,-0.07296,-0.32942,-0.2239768,0.58858979,1,1,1,0.08082355,0.00121248,0.59359247,0.74408422,0,1,1
LOC100505679,0.2768,0.01002,0.11849,-0.3221928,0.31087038,0.08474,0.072,0.47042,1.29648833,0.36427844,1,1,1,1,1,0,1,0,1,1
LOC100505687,0.25763,0.05451,0.46007,0.4604847,0.30616962,-0.09191,0.65779,0.09768,0.21402076,-0.0218394,0.1941664,0.95106251,0.00584569,0.24617361,0.46648934,0.60535085,2.42E-08,0.83710274,0.42171007,0.94151631
LOC100505695,-0.15936,0,-0.08111,0.10915181,0.14137161,-0.30402,1.10914,-0.05306,-0.2298476,0.19948574,1,1,1,1,1,0.26470903,1,0,1,1
LOC100505702,0.11076,-0.03752,-0.02695,0.90270669,2.38896564,1.1276,1.24186,0.57767,0.01483223,-0.3422534,0.76724463,1,0.94686219,1,1,0,0.00143379,0,1,1
LOC100505715,0.05015,0.34699,-0.34858,-0.0886208,-0.5827213,0.59733,0.17667,-0.02281,1.36966163,1.40459502,0.8751246,1,0.15194776,1,1,0.25450452,0.70628798,0,1,1
LOC100505716,-0.01334,0.01775,0.72952,0,0,0,0,0,-0.2963107,-0.4191319,1,1,1,1,1,0,1,0,1,1
LOC100505718,0.09343,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505738,-0.15701,-0.13448,-0.39183,-0.4443121,-0.3412646,-0.02515,-0.1597,0.90717,1.31277501,1.31113928,0.45271039,0.8936237,0.02935436,0.48128288,0.60568889,0.90732596,0.4633988,0.06439591,6.58E-09,2.94E-06
LOC100505761,-0.29437,0.62576,-0.611,-1.3536962,-1.9549675,-0.43614,0.12265,0.23652,0.68220913,0.98477661,0.37056304,0.37284279,0.1033688,0.04508843,0.00213371,0.11009245,0.46381379,0.69154442,0.03692301,0.0013891
LOC100505768,0.02051,0.05121,0.12559,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505776,0,0,0,0,0,0,0,0,-0.1624681,-0.1637694,1,1,1,1,1,0,1,0,1,1
LOC100505782,0.05726,0,0.12531,0.10026391,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505783,-0.53456,0.16421,-0.65155,-0.9283889,-0.7464184,0.093,1.04249,0.70568,-0.041276,0.40441175,0.03444236,0.85623522,0.0057037,0.16636271,0.27663307,0.66022116,6.84E-09,0,1,0.3626376
LOC100505795,0.05656,0.12364,0,0.10026391,0,0,0.07802,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505806,-0.13249,0,-0.59646,-0.3388564,-0.3580956,0,0.17373,0,0,0,0.25631081,1,5.32E-06,1,1,0,1,0,1,1
LOC100505812,0.05805,0.14843,0.04131,1.30512687,1.15688242,0.72831,0.03355,0.72608,1.35630117,1.08571613,0.90627171,1,0.93816633,1,1,0.12515251,0.9430035,0,1,1
LOC100505817,0.23987,0.22915,0.23367,0.35129684,0.69434284,-0.7025,-0.16456,0.20181,-0.125815,-0.0156529,1,0.59162919,1,0.35482772,0.02948973,0,0.30952157,0.22146422,0.51952419,0.93478949
LOC100505835,0,0,0,0,0,-0.02158,-0.12712,-0.48218,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505839,-0.03206,-0.06913,0.16007,0.10915181,0,-0.25507,0,0,-0.2695304,-0.2774587,1,1,1,1,1,0,1,0,1,1
LOC100505841,0.05656,0,0.12531,0,0,0.19005,0,0,0.36188165,1.1791739,1,1,1,1,1,0,1,0,1,1
LOC100505865,0.23773,-0.48009,-0.54129,-0.1336537,-0.5794971,0.36841,-0.30932,-1.21142,-0.4892729,0.44264585,0.54811041,0.56509377,0.21514367,0.81731728,0.246397,0.46506046,0.19364953,0,1,0.26316218
LOC100505875,0.05726,-0.06913,0.12531,-0.3388564,-0.3580956,-0.26214,0.87864,0,0,0.26804011,1,1,1,1,1,0,1,0,1,1
LOC100505876,0.2339,0.75233,-0.56281,-0.341086,-0.5989139,-0.06884,0.29667,-0.03234,-0.2527922,-0.0750675,1,0.04868512,5.35E-11,0.52284176,0.25940135,0.73213498,0.02755154,0.90493167,0.12887001,0.45136562
LOC100505912,0.07444,0.01315,0.02035,0.00568534,-0.3357072,0.06877,0.46977,-0.02925,0.43301341,0.44477678,1,1,1,1,1,0.8977608,1,0,1,1
LOC100505918,0,0.05121,0,0,0,1.21476,0,0.31719,1.65840357,1.17757328,1,1,1,1,1,0,1,0,1,1
LOC100505933,0.26327,0.05121,0.22882,0,0,-0.09345,-0.06749,0,0.17183537,-0.1637694,0.50164468,1,0.63049156,1,1,0,1,0,1,1
LOC100505964,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505978,0.02817,0,0.15023,0.28415044,-0.1561605,-0.15734,0.34414,1.26724,-0.5174062,-0.1726442,1,1,1,1,1,0,1,0,1,1
LOC100505989,0,0.30864,0.12477,0.75888402,-1.232527,1.02189,-0.98658,-0.35516,-1.2544864,-0.1520445,1,1,1,1,1,0.00476804,1,0,1,1
LOC100506013,0,0,0,0,0,0.10599,0,-0.34187,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506023,-0.10843,-0.20361,-0.30028,-0.6207385,0.68325941,-0.25449,0.23195,-0.22262,0.05990084,0.35215482,0.77398401,1,0.371284,1,1,0.6091633,1,0,1,1
LOC100506025,0.1873,0.05121,0.13292,0,0,0,0,0,0.16845057,-0.4815793,1,1,1,1,1,0,1,0,1,1
LOC100506035,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506050,0.05726,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506054,0.06236,-0.28758,-0.07867,-0.1246053,-0.926504,-0.60469,-0.0019,0.12298,-0.3905196,-0.2030896,0.77829756,0.57355402,0.71254072,0.78821942,0.02820946,0.00064455,0.98993826,0.79353923,0.23024543,0.5284156
LOC100506060,-0.11828,-0.30347,0.40375,-0.1586285,-0.173012,-0.37683,-0.30152,-0.14132,1.38272519,1.05537757,0.71972341,1,0.11677663,0.81338175,0.81057237,0.41933731,0.23137009,0,1,1
LOC100506071,-0.03392,-0.03441,0.18356,0,0,0.311,0.24983,0,0.69788509,0.7009065,1,1,1,1,1,0,1,0,1,1
LOC100506082,0.05818,0.04748,0.72132,-0.9164922,-1.1997014,-0.05448,0.02358,0.54328,-0.5174062,-0.5283765,1,1,1,1,1,0,1,0,1,1
