"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular response to stimulus","GO:0051716","0.00031967484726651963","3.495291533647281","7777","26","24","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","regulation of response to stimulus","GO:0048583","0.00039414613354086115","3.4043427293829813","4399","26","19","18017","IFI6,IRF7,DDX60,PARP9,DDX58,IFIH1,TRIM34,DTX3L,STAT1,CCL20,TRIM14,SAMHD1,PARP14,HERC5,SP100,USP18,B2M,TRIM25,EDN1"
"GO:BP","regulation of defense response to virus by host","GO:0050691","0.0005008752284050519","3.300270446515758","40","26","4","18017","PARP9,DDX58,DTX3L,STAT1"
"GO:BP","MDA-5 signaling pathway","GO:0039530","0.0005299893272514957","3.275732875988743","10","26","3","18017","IRF7,DDX60,IFIH1"
"GO:BP","regulation of response to stress","GO:0080134","0.0007864063259812933","3.104353001625923","1546","26","12","18017","IRF7,DDX60,PARP9,DDX58,DTX3L,STAT1,SAMHD1,PARP14,HERC5,USP18,B2M,EDN1"
"GO:BP","negative regulation of type I interferon production","GO:0032480","0.0008891260424212597","3.0510366691221145","46","26","4","18017","DDX58,IFIH1,HERC5,TRIM25"
"GO:BP","positive regulation of cytokine-mediated signaling pathway","GO:0001961","0.001249909216198914","2.903121529660469","50","26","4","18017","IRF7,PARP9,PARP14,EDN1"
"GO:BP","cytoplasmic pattern recognition receptor signaling pathway","GO:0002753","0.004342805326103471","2.3622296382163945","68","26","4","18017","IRF7,DDX60,DDX58,IFIH1"
"GO:BP","regulation of immune effector process","GO:0002697","0.0056063788857381655","2.251317555447467","470","26","7","18017","DDX60,PARP9,DDX58,DTX3L,STAT1,HERC5,B2M"
"GO:BP","regulation of innate immune response","GO:0045088","0.00576379271334979","2.2392916463637946","299","26","6","18017","IRF7,PARP9,STAT1,SAMHD1,PARP14,USP18"
"GO:BP","positive regulation of type I interferon production","GO:0032481","0.007532560515869875","2.1230573705603097","78","26","4","18017","IRF7,DDX58,IFIH1,STAT1"
"GO:BP","regulation of cell communication","GO:0010646","0.008803764617597484","2.055331577505004","3659","26","16","18017","IFI6,IRF7,DDX60,PARP9,DDX58,IFIH1,TRIM34,STAT1,CCL20,TRIM14,SAMHD1,PARP14,SP100,USP18,TRIM25,EDN1"
"GO:BP","regulation of response to interferon-gamma","GO:0060330","0.01001323280929097","1.9994256862999187","25","26","3","18017","PARP9,STAT1,PARP14"
"GO:BP","regulation of interferon-gamma-mediated signaling pathway","GO:0060334","0.01001323280929097","1.9994256862999187","25","26","3","18017","PARP9,STAT1,PARP14"
"GO:BP","regulation of signaling","GO:0023051","0.01021524951237091","1.990751021050873","3699","26","16","18017","IFI6,IRF7,DDX60,PARP9,DDX58,IFIH1,TRIM34,STAT1,CCL20,TRIM14,SAMHD1,PARP14,SP100,USP18,TRIM25,EDN1"
"GO:BP","positive regulation of response to stimulus","GO:0048584","0.01813912820114348","1.7413835897418046","2476","26","13","18017","IRF7,DDX60,PARP9,DDX58,IFIH1,TRIM34,DTX3L,CCL20,TRIM14,PARP14,B2M,TRIM25,EDN1"
"GO:BP","regulation of cytokine production","GO:0001817","0.024772745354394724","1.6060258615531937","832","26","8","18017","IRF7,DDX60,DDX58,IFIH1,STAT1,HERC5,B2M,TRIM25"
"GO:BP","positive regulation of interferon-beta production","GO:0032728","0.025828270102407267","1.5879046805528767","34","26","3","18017","IRF7,DDX58,IFIH1"
"GO:BP","regulation of type I interferon-mediated signaling pathway","GO:0060338","0.028222635517328558","1.5494024329208498","35","26","3","18017","IRF7,SAMHD1,USP18"
"GO:BP","regulation of type III interferon production","GO:0034344","0.03328615771169966","1.4777363334378903","5","26","2","18017","DDX58,IFIH1"
"GO:BP","type III interferon production","GO:0034343","0.03328615771169966","1.4777363334378903","5","26","2","18017","DDX58,IFIH1"
"GO:BP","regulation of viral entry into host cell","GO:0046596","0.04240000378586971","1.3726341046293842","40","26","3","18017","TRIM34,TRIM14,TRIM25"
"GO:BP","cytokine production","GO:0001816","0.047365136849758516","1.3245412035713087","910","26","8","18017","IRF7,DDX60,DDX58,IFIH1,STAT1,HERC5,B2M,TRIM25"
"GO:BP","detection of virus","GO:0009597","0.04988490122889499","1.302030883339183","6","26","2","18017","DDX58,IFIH1"
